"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"C1104";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1105";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1106";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1107";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1108";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1109";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1110";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1111";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1201";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1202";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
